item_id,order_id,store_id,sku_id,category,quantity,unit_price_inr,unit_cost_inr,item_total_inr,item_margin_inr,is_substituted,order_date,item_margin_pct
ITM_002164897,ORD_00360798,STR_002,SKU_0396,Baby & Kids,3,546.0,382.0,1638.0,492.0,False,2024-02-26,0.3004
ITM_000683873,ORD_00114147,STR_008,SKU_0464,Snacks & Confectionery,1,128.0,87.0,128.0,41.0,False,2023-05-22,0.3203
ITM_000249929,ORD_00041766,STR_003,SKU_0011,Fruits & Vegetables,4,33.0,27.0,132.0,24.0,False,2023-02-17,0.1818
ITM_000726047,ORD_00121150,STR_001,SKU_0054,Fruits & Vegetables,1,39.0,32.0,39.0,7.0,False,2023-06-02,0.1795
ITM_002489822,ORD_00414998,STR_004,SKU_0061,Fruits & Vegetables,1,51.0,42.0,51.0,9.0,False,2024-05-06,0.1765
ITM_002428069,ORD_00404704,STR_007,SKU_0180,Packaged Food,1,160.0,125.0,160.0,35.0,False,2024-04-22,0.2188
ITM_000921437,ORD_00153664,STR_004,SKU_0011,Fruits & Vegetables,2,33.0,27.0,66.0,12.0,False,2023-07-16,0.1818
ITM_002407272,ORD_00401221,STR_006,SKU_0151,Packaged Food,1,196.0,153.0,196.0,43.0,False,2024-04-18,0.2194
ITM_001594849,ORD_00265870,STR_004,SKU_0070,Dairy & Eggs,1,143.0,120.0,143.0,23.0,False,2023-11-16,0.1608
ITM_002215732,ORD_00369226,STR_005,SKU_0014,Fruits & Vegetables,1,21.0,17.0,21.0,4.0,False,2024-03-08,0.1905
ITM_001450995,ORD_00241958,STR_001,SKU_0280,Personal Care,1,285.0,205.0,285.0,80.0,False,2023-10-26,0.2807
ITM_000476707,ORD_00079572,STR_007,SKU_0099,Dairy & Eggs,3,170.0,143.0,510.0,81.0,False,2023-04-06,0.1588
ITM_002682093,ORD_00447045,STR_005,SKU_0162,Packaged Food,1,109.0,85.0,109.0,24.0,False,2024-06-21,0.2202
ITM_001251363,ORD_00208683,STR_006,SKU_0335,Household,2,266.0,202.0,532.0,128.0,False,2023-09-24,0.2406
ITM_001551471,ORD_00258655,STR_001,SKU_0281,Personal Care,1,206.0,148.0,206.0,58.0,False,2023-11-10,0.2816
ITM_001130858,ORD_00188572,STR_008,SKU_0246,Beverages,1,67.0,54.0,67.0,13.0,False,2023-08-29,0.194
ITM_001616545,ORD_00269449,STR_004,SKU_0261,Personal Care,1,10.0,7.0,10.0,3.0,False,2023-11-19,0.3
ITM_001146560,ORD_00191177,STR_004,SKU_0294,Personal Care,3,280.0,202.0,840.0,234.0,False,2023-09-02,0.2786
ITM_000886420,ORD_00147875,STR_001,SKU_0002,Fruits & Vegetables,1,42.0,34.0,42.0,8.0,False,2023-07-09,0.1905
ITM_002333222,ORD_00388808,STR_004,SKU_0496,Snacks & Confectionery,1,92.0,63.0,92.0,29.0,False,2024-04-02,0.3152
