order_id,store_id,customer_id,order_timestamp,order_date,order_hour,day_of_week,month,quarter,is_weekend,payment_method,order_value_inr,discount_amount_inr,delivery_charge_inr,platform_fee_inr,net_order_value_inr,pick_time_mins,pack_time_mins,dispatch_time_mins,travel_time_mins,total_delivery_mins,sla_met,distance_km,delivery_cost_inr,order_status,num_items,had_substitution,customer_rating,gross_profit_inr,is_profitable,order_hour_band,delivery_speed_band
ORD_00071619,STR_003,CUST_031701,2023-03-27 16:27:22,2023-03-27,16,Monday,3,1,False,UPI,356.16,35.62,0,10.68,331.22,3.45,1.66,1.7,9.29,16.1,False,1.61,29.44,Delivered,3,False,5.0,301.78,True,Afternoon,15-25 mins
ORD_00063685,STR_004,CUST_035399,2023-03-17 14:30:26,2023-03-17,14,Friday,3,1,False,UPI,211.57,0.0,0,6.35,217.92,6.61,3.44,0.95,10.62,21.62,False,2.03,28.52,Delivered,10,False,5.0,189.4,True,Afternoon,15-25 mins
ORD_00291037,STR_002,CUST_015482,2023-12-10 13:46:14,2023-12-10,13,Sunday,12,4,True,Wallet,224.46,0.0,0,6.73,231.19,6.82,1.35,0.91,11.52,20.6,False,2.32,38.73,Delivered,3,False,5.0,192.46,True,Afternoon,15-25 mins
ORD_00103792,STR_001,CUST_016772,2023-05-08 15:33:12,2023-05-08,15,Monday,5,2,False,UPI,336.9,16.84,0,10.11,330.17,4.36,2.38,2.01,5.85,14.6,False,0.88,25.58,Delivered,3,False,4.0,304.59,True,Afternoon,10-15 mins
ORD_00061275,STR_001,CUST_025503,2023-03-14 19:32:14,2023-03-14,19,Tuesday,3,1,False,UPI,709.27,35.46,0,21.28,695.09,3.49,1.99,2.05,10.15,17.68,False,1.83,33.17,Delivered,4,False,3.0,661.92,True,Evening,15-25 mins
ORD_00109908,STR_009,CUST_039832,2023-05-16 18:14:15,2023-05-16,18,Tuesday,5,2,False,UPI,77.25,7.72,25,2.32,96.85,5.66,2.43,0.59,8.4,17.08,False,2.47,33.98,Delivered,8,False,3.0,62.87,True,Evening,15-25 mins
ORD_00404764,STR_008,CUST_044956,2024-04-22 13:35:33,2024-04-22,13,Monday,4,2,False,UPI,326.37,32.64,0,9.79,303.52,2.62,1.63,1.62,5.8,11.67,False,1.16,26.14,Cancelled,1,False,,277.38,True,Afternoon,10-15 mins
ORD_00162416,STR_008,CUST_008695,2023-07-27 08:33:59,2023-07-27,8,Thursday,7,3,False,COD,357.53,0.0,0,10.73,368.26,4.91,1.03,1.64,4.31,11.89,False,1.09,26.25,Delivered,2,False,3.0,342.01,True,Morning,10-15 mins
ORD_00260472,STR_007,CUST_023816,2023-11-11 17:30:39,2023-11-11,17,Saturday,11,4,True,Card,498.68,99.74,0,14.96,413.9,4.14,1.35,1.39,7.44,14.32,False,2.1,29.79,Delivered,11,False,3.0,384.11,True,Evening,10-15 mins
ORD_00009689,STR_002,CUST_007542,2023-01-11 23:10:12,2023-01-11,23,Wednesday,1,1,False,UPI,396.17,39.62,0,11.89,368.44,4.53,2.33,2.0,7.33,16.189999999999998,False,1.7,28.59,Delivered,1,False,4.0,339.85,True,Night,15-25 mins
