substitution_id,order_id,store_id,original_sku_id,substitute_sku_id,original_category,substitute_category,same_category,price_difference_inr,customer_accepted,reason_for_sub,order_date,acceptance_label
SUB_0031379,ORD_00261589,STR_005,SKU_0039,SKU_0196,Fruits & Vegetables,Beverages,False,134.0,False,Expired,2023-11-12,Rejected
SUB_0031343,ORD_00261352,STR_003,SKU_0088,SKU_0475,Dairy & Eggs,Snacks & Confectionery,False,15.0,False,Out of Stock,2023-11-12,Rejected
SUB_0009732,ORD_00081805,STR_004,SKU_0189,SKU_0269,Beverages,Personal Care,False,119.0,False,Damaged,2023-04-09,Rejected
SUB_0006557,ORD_00055456,STR_007,SKU_0247,SKU_0283,Beverages,Personal Care,False,79.0,False,Out of Stock,2023-03-06,Rejected
SUB_0021523,ORD_00180863,STR_010,SKU_0021,SKU_0298,Fruits & Vegetables,Personal Care,False,99.0,True,Out of Stock,2023-08-19,Accepted
SUB_0017526,ORD_00147315,STR_005,SKU_0439,SKU_0209,Snacks & Confectionery,Beverages,False,-62.0,False,Damaged,2023-07-08,Rejected
SUB_0017699,ORD_00148712,STR_009,SKU_0010,SKU_0035,Fruits & Vegetables,Fruits & Vegetables,True,14.0,True,Out of Stock,2023-07-09,Accepted
SUB_0009147,ORD_00077357,STR_006,SKU_0381,SKU_0231,Baby & Kids,Beverages,False,-188.0,False,Damaged,2023-04-03,Rejected
SUB_0022504,ORD_00188915,STR_003,SKU_0359,SKU_0290,Household,Personal Care,False,-60.0,False,Out of Stock,2023-08-30,Rejected
SUB_0051140,ORD_00425742,STR_010,SKU_0203,SKU_0229,Beverages,Beverages,True,4.0,True,Out of Stock,2024-05-21,Accepted
SUB_0034041,ORD_00283816,STR_006,SKU_0128,SKU_0309,Packaged Food,Personal Care,False,19.0,True,Out of Stock,2023-12-02,Accepted
SUB_0018842,ORD_00158186,STR_004,SKU_0057,SKU_0060,Fruits & Vegetables,Fruits & Vegetables,True,2.0,True,Out of Stock,2023-07-22,Accepted
SUB_0026897,ORD_00225036,STR_001,SKU_0151,SKU_0071,Packaged Food,Dairy & Eggs,False,-154.0,False,Out of Stock,2023-10-11,Rejected
SUB_0048068,ORD_00400242,STR_002,SKU_0472,SKU_0382,Snacks & Confectionery,Baby & Kids,False,637.0,True,Out of Stock,2024-04-17,Accepted
SUB_0033939,ORD_00282798,STR_006,SKU_0300,SKU_0438,Personal Care,Snacks & Confectionery,False,-201.0,False,Out of Stock,2023-12-01,Rejected
SUB_0036027,ORD_00300173,STR_009,SKU_0455,SKU_0261,Snacks & Confectionery,Personal Care,False,0.0,False,Out of Stock,2023-12-19,Rejected
SUB_0051232,ORD_00426429,STR_010,SKU_0217,SKU_0237,Beverages,Beverages,True,28.0,True,Out of Stock,2024-05-22,Accepted
SUB_0043367,ORD_00361096,STR_007,SKU_0295,SKU_0277,Personal Care,Personal Care,True,-79.0,True,Damaged,2024-02-26,Accepted
SUB_0027556,ORD_00230417,STR_007,SKU_0246,SKU_0411,Beverages,Baby & Kids,False,616.0,False,Out of Stock,2023-10-15,Rejected
SUB_0017352,ORD_00146069,STR_009,SKU_0277,SKU_0117,Personal Care,Dairy & Eggs,False,74.0,False,Out of Stock,2023-07-06,Rejected
SUB_0029292,ORD_00244983,STR_008,SKU_0067,SKU_0290,Dairy & Eggs,Personal Care,False,-2.0,False,Out of Stock,2023-10-28,Rejected
SUB_0027272,ORD_00228132,STR_001,SKU_0380,SKU_0024,Baby & Kids,Fruits & Vegetables,False,-443.0,False,Out of Stock,2023-10-14,Rejected
SUB_0049113,ORD_00408955,STR_003,SKU_0388,SKU_0003,Baby & Kids,Fruits & Vegetables,False,-294.0,False,Out of Stock,2024-04-28,Rejected
SUB_0035817,ORD_00298417,STR_009,SKU_0404,SKU_0047,Baby & Kids,Fruits & Vegetables,False,-220.0,True,Out of Stock,2023-12-17,Accepted
